"col" "name"
1 "TimeBodyAccelerometerelerometerMean()-X"
2 "TimeBodyAccelerometerelerometerMean()-Y"
3 "TimeBodyAccelerometerelerometerMean()-Z"
4 "TimeBodyAccelerometerelerometerSTD()-X"
5 "TimeBodyAccelerometerelerometerSTD()-Y"
6 "TimeBodyAccelerometerelerometerSTD()-Z"
41 "TimeGravityAccelerometerelerometerMean()-X"
42 "TimeGravityAccelerometerelerometerMean()-Y"
43 "TimeGravityAccelerometerelerometerMean()-Z"
44 "TimeGravityAccelerometerelerometerSTD()-X"
45 "TimeGravityAccelerometerelerometerSTD()-Y"
46 "TimeGravityAccelerometerelerometerSTD()-Z"
81 "TimeBodyAccelerometerelerometerJerkMean()-X"
82 "TimeBodyAccelerometerelerometerJerkMean()-Y"
83 "TimeBodyAccelerometerelerometerJerkMean()-Z"
84 "TimeBodyAccelerometerelerometerJerkSTD()-X"
85 "TimeBodyAccelerometerelerometerJerkSTD()-Y"
86 "TimeBodyAccelerometerelerometerJerkSTD()-Z"
121 "TimeBodyGyroscopeMean()-X"
122 "TimeBodyGyroscopeMean()-Y"
123 "TimeBodyGyroscopeMean()-Z"
124 "TimeBodyGyroscopeSTD()-X"
125 "TimeBodyGyroscopeSTD()-Y"
126 "TimeBodyGyroscopeSTD()-Z"
161 "TimeBodyGyroscopeJerkMean()-X"
162 "TimeBodyGyroscopeJerkMean()-Y"
163 "TimeBodyGyroscopeJerkMean()-Z"
164 "TimeBodyGyroscopeJerkSTD()-X"
165 "TimeBodyGyroscopeJerkSTD()-Y"
166 "TimeBodyGyroscopeJerkSTD()-Z"
201 "TimeBodyAccelerometerelerometerMagnitudeMean()"
202 "TimeBodyAccelerometerelerometerMagnitudeSTD()"
214 "TimeGravityAccelerometerelerometerMagnitudeMean()"
215 "TimeGravityAccelerometerelerometerMagnitudeSTD()"
227 "TimeBodyAccelerometerelerometerJerkMagnitudeMean()"
228 "TimeBodyAccelerometerelerometerJerkMagnitudeSTD()"
240 "TimeBodyGyroscopeMagnitudeMean()"
241 "TimeBodyGyroscopeMagnitudeSTD()"
253 "TimeBodyGyroscopeJerkMagnitudeMean()"
254 "TimeBodyGyroscopeJerkMagnitudeSTD()"
266 "FrequencyBodyAccelerometerelerometerMean()-X"
267 "FrequencyBodyAccelerometerelerometerMean()-Y"
268 "FrequencyBodyAccelerometerelerometerMean()-Z"
269 "FrequencyBodyAccelerometerelerometerSTD()-X"
270 "FrequencyBodyAccelerometerelerometerSTD()-Y"
271 "FrequencyBodyAccelerometerelerometerSTD()-Z"
294 "FrequencyBodyAccelerometerelerometerMeanFreq()-X"
295 "FrequencyBodyAccelerometerelerometerMeanFreq()-Y"
296 "FrequencyBodyAccelerometerelerometerMeanFreq()-Z"
345 "FrequencyBodyAccelerometerelerometerJerkMean()-X"
346 "FrequencyBodyAccelerometerelerometerJerkMean()-Y"
347 "FrequencyBodyAccelerometerelerometerJerkMean()-Z"
348 "FrequencyBodyAccelerometerelerometerJerkSTD()-X"
349 "FrequencyBodyAccelerometerelerometerJerkSTD()-Y"
350 "FrequencyBodyAccelerometerelerometerJerkSTD()-Z"
373 "FrequencyBodyAccelerometerelerometerJerkMeanFreq()-X"
374 "FrequencyBodyAccelerometerelerometerJerkMeanFreq()-Y"
375 "FrequencyBodyAccelerometerelerometerJerkMeanFreq()-Z"
424 "FrequencyBodyGyroscopeMean()-X"
425 "FrequencyBodyGyroscopeMean()-Y"
426 "FrequencyBodyGyroscopeMean()-Z"
427 "FrequencyBodyGyroscopeSTD()-X"
428 "FrequencyBodyGyroscopeSTD()-Y"
429 "FrequencyBodyGyroscopeSTD()-Z"
452 "FrequencyBodyGyroscopeMeanFreq()-X"
453 "FrequencyBodyGyroscopeMeanFreq()-Y"
454 "FrequencyBodyGyroscopeMeanFreq()-Z"
503 "FrequencyBodyAccelerometerelerometerMagnitudeMean()"
504 "FrequencyBodyAccelerometerelerometerMagnitudeSTD()"
513 "FrequencyBodyAccelerometerelerometerMagnitudeMeanFreq()"
516 "FrequencyBodyAccelerometerelerometerJerkMagnitudeMean()"
517 "FrequencyBodyAccelerometerelerometerJerkMagnitudeSTD()"
526 "FrequencyBodyAccelerometerelerometerJerkMagnitudeMeanFreq()"
529 "FrequencyBodyGyroscopeMagnitudeMean()"
530 "FrequencyBodyGyroscopeMagnitudeSTD()"
539 "FrequencyBodyGyroscopeMagnitudeMeanFreq()"
542 "FrequencyBodyGyroscopeJerkMagnitudeMean()"
543 "FrequencyBodyGyroscopeJerkMagnitudeSTD()"
552 "FrequencyBodyGyroscopeJerkMagnitudeMeanFreq()"
555 "Angle(TimeBodyAccelerometerelerometerMean,Gravity)"
556 "Angle(TimeBodyAccelerometerelerometerJerkMean),GravityMean)"
557 "Angle(TimeBodyGyroscopeMean,GravityMean)"
558 "Angle(TimeBodyGyroscopeJerkMean,GravityMean)"
559 "Angle(X,GravityMean)"
560 "Angle(Y,GravityMean)"
561 "Angle(Z,GravityMean)"
